GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0044267	cellular protein metabolic process	2173	381	326.64	3.9e-05
GO:0006508	proteolysis	1049	201	157.68	3.9e-05
GO:0009059	macromolecule biosynthetic process	1779	319	267.41	4.0e-05
GO:0007049	cell cycle	488	105	73.35	4.2e-05
GO:0008608	attachment of spindle microtubules to ki...	9	7	1.35	4.6e-05
GO:0006401	RNA catabolic process	111	33	16.69	5.3e-05
GO:0034645	cellular macromolecule biosynthetic proc...	1760	315	264.56	5.5e-05
GO:0042135	neurotransmitter catabolic process	31	14	4.66	5.9e-05
GO:0065003	protein-containing complex assembly	505	107	75.91	6.9e-05
GO:0010564	regulation of cell cycle process	151	41	22.7	7.2e-05
GO:1901564	organonitrogen compound metabolic proces...	3077	517	462.52	7.4e-05
GO:0018205	peptidyl-lysine modification	127	36	19.09	7.5e-05
GO:0043414	macromolecule methylation	118	34	17.74	8.2e-05
GO:0022607	cellular component assembly	864	168	129.87	8.9e-05
GO:0042273	ribosomal large subunit biogenesis	64	22	9.62	8.9e-05
GO:0044260	cellular macromolecule metabolic process	3143	526	472.44	9.5e-05
GO:0042255	ribosome assembly	52	19	7.82	0.00011
GO:0006325	chromatin organization	258	61	38.78	0.00013
GO:0051984	positive regulation of chromosome segreg...	10	7	1.5	0.00013
GO:0006475	internal protein amino acid acetylation	33	14	4.96	0.00014
GO:0018393	internal peptidyl-lysine acetylation	33	14	4.96	0.00014
GO:0001510	RNA methylation	49	18	7.37	0.00015
GO:0051983	regulation of chromosome segregation	41	16	6.16	0.00015
GO:0010498	proteasomal protein catabolic process	181	46	27.21	0.00015
GO:0031167	rRNA methylation	13	8	1.95	0.00016
GO:0031123	RNA 3'-end processing	46	17	6.91	0.00021
GO:0006996	organelle organization	1244	228	186.99	0.00022
GO:0010608	posttranscriptional regulation of gene e...	179	45	26.91	0.00023
GO:0051304	chromosome separation	47	17	7.06	0.00028
GO:0000466	maturation of 5.8S rRNA from tricistroni...	17	9	2.56	0.00029
GO:0016458	gene silencing	87	26	13.08	0.00029
GO:0044271	cellular nitrogen compound biosynthetic ...	1783	313	268.01	0.00029
GO:0016043	cellular component organization	1805	316	271.32	0.00033
GO:0033044	regulation of chromosome organization	65	21	9.77	0.00034
GO:0098813	nuclear chromosome segregation	102	29	15.33	0.00035
GO:0071103	DNA conformation change	162	41	24.35	0.00038
GO:0006370	7-methylguanosine mRNA capping	6	5	0.9	0.00040
GO:0031054	pre-miRNA processing	6	5	0.9	0.00040
GO:0042407	cristae formation	4	4	0.6	0.00051
GO:0051255	spindle midzone assembly	4	4	0.6	0.00051
GO:0006950	response to stress	1009	187	151.67	0.00053
GO:0090501	RNA phosphodiester bond hydrolysis	124	33	18.64	0.00053
GO:0043412	macromolecule modification	1600	282	240.5	0.00053
GO:0006414	translational elongation	76	23	11.42	0.00053
GO:0018394	peptidyl-lysine acetylation	37	14	5.56	0.00056
GO:0006413	translational initiation	125	33	18.79	0.00062
GO:0009452	7-methylguanosine RNA capping	9	6	1.35	0.00063
GO:0031017	exocrine pancreas development	9	6	1.35	0.00063
GO:0036260	RNA capping	9	6	1.35	0.00063
GO:0033036	macromolecule localization	970	180	145.81	0.00064
GO:0035196	production of miRNAs involved in gene si...	12	7	1.8	0.00067
GO:0070918	production of small RNA involved in gene...	12	7	1.8	0.00067
GO:0010605	negative regulation of macromolecule met...	547	109	82.22	0.00072
GO:0000070	mitotic sister chromatid segregation	73	22	10.97	0.00074
GO:0032465	regulation of cytokinesis	30	12	4.51	0.00078
GO:1905818	regulation of chromosome separation	34	13	5.11	0.00079
GO:1903047	mitotic cell cycle process	195	46	29.31	0.00091
GO:0046700	heterocycle catabolic process	169	41	25.4	0.00094
GO:0000462	maturation of SSU-rRNA from tricistronic...	23	10	3.46	0.00099
GO:0034655	nucleobase-containing compound catabolic...	159	39	23.9	0.00100
GO:0140013	meiotic nuclear division	84	24	12.63	0.00101
GO:0042133	neurotransmitter metabolic process	39	14	5.86	0.00104
GO:0044270	cellular nitrogen compound catabolic pro...	170	41	25.55	0.00107
GO:0016573	histone acetylation	27	11	4.06	0.00107
GO:0033045	regulation of sister chromatid segregati...	35	13	5.26	0.00108
GO:0010965	regulation of mitotic sister chromatid s...	31	12	4.66	0.00110
GO:0071168	protein localization to chromatin	7	5	1.05	0.00122
GO:1901566	organonitrogen compound biosynthetic pro...	1199	215	180.23	0.00124
GO:0006473	protein acetylation	44	15	6.61	0.00128
GO:0000278	mitotic cell cycle	258	57	38.78	0.00130
GO:0034502	protein localization to chromosome	20	9	3.01	0.00132
GO:0051784	negative regulation of nuclear division	20	9	3.01	0.00132
GO:0140053	mitochondrial gene expression	62	19	9.32	0.00134
GO:0032091	negative regulation of protein binding	10	6	1.5	0.00138
GO:0051231	spindle elongation	10	6	1.5	0.00138
GO:1901989	positive regulation of cell cycle phase ...	24	10	3.61	0.00147
GO:0006661	phosphatidylinositol biosynthetic proces...	58	18	8.72	0.00151
GO:0044784	metaphase/anaphase transition of cell cy...	32	12	4.81	0.00152
GO:0051306	mitotic sister chromatid separation	32	12	4.81	0.00152
GO:1902099	regulation of metaphase/anaphase transit...	32	12	4.81	0.00152
GO:0009892	negative regulation of metabolic process	582	113	87.48	0.00154
GO:1903046	meiotic cell cycle process	111	29	16.69	0.00154
GO:0070647	protein modification by small protein co...	271	59	40.74	0.00156
GO:0051321	meiotic cell cycle	142	35	21.34	0.00162
GO:0010604	positive regulation of macromolecule met...	518	102	77.86	0.00163
GO:0006367	transcription initiation from RNA polyme...	45	15	6.76	0.00166
GO:1903311	regulation of mRNA metabolic process	50	16	7.52	0.00191
GO:0000154	rRNA modification	21	9	3.16	0.00201
GO:0051173	positive regulation of nitrogen compound...	469	93	70.5	0.00209
GO:0006289	nucleotide-excision repair	25	10	3.76	0.00213
GO:0006614	SRP-dependent cotranslational protein ta...	14	7	2.1	0.00221
GO:0016255	attachment of GPI anchor to protein	5	4	0.75	0.00223
GO:0042780	tRNA 3'-end processing	5	4	0.75	0.00223
GO:1904776	regulation of protein localization to ce...	5	4	0.75	0.00223
GO:0034613	cellular protein localization	571	110	85.83	0.00234
GO:0000819	sister chromatid segregation	89	24	13.38	0.00241
GO:0044770	cell cycle phase transition	94	25	14.13	0.00243
GO:0034248	regulation of cellular amide metabolic p...	146	35	21.95	0.00269
GO:0043161	proteasome-mediated ubiquitin-dependent ...	141	34	21.19	0.00277
GO:0031047	gene silencing by RNA	61	18	9.17	0.00283
GO:1904377	positive regulation of protein localizat...	8	5	1.2	0.00286
GO:0007091	metaphase/anaphase transition of mitotic...	30	11	4.51	0.00292
GO:0030071	regulation of mitotic metaphase/anaphase...	30	11	4.51	0.00292
GO:0006505	GPI anchor metabolic process	43	14	6.46	0.00301
GO:0019439	aromatic compound catabolic process	185	42	27.81	0.00321
GO:0042159	lipoprotein catabolic process	3	3	0.45	0.00339
GO:0046596	regulation of viral entry into host cell	3	3	0.45	0.00339
GO:0046598	positive regulation of viral entry into ...	3	3	0.45	0.00339
GO:0051315	attachment of mitotic spindle microtubul...	3	3	0.45	0.00339
GO:0075294	positive regulation by symbiont of entry...	3	3	0.45	0.00339
GO:1904778	positive regulation of protein localizat...	3	3	0.45	0.00339
GO:0048477	oogenesis	127	31	19.09	0.00343
GO:0009058	biosynthetic process	2344	390	352.34	0.00354
GO:1901361	organic cyclic compound catabolic proces...	186	42	27.96	0.00357
GO:0032270	positive regulation of cellular protein ...	219	48	32.92	0.00360
GO:0000380	alternative mRNA splicing, via spliceoso...	15	7	2.25	0.00361
GO:0033046	negative regulation of sister chromatid ...	15	7	2.25	0.00361
GO:0051985	negative regulation of chromosome segreg...	15	7	2.25	0.00361
GO:0071173	spindle assembly checkpoint	15	7	2.25	0.00361
GO:1902100	negative regulation of metaphase/anaphas...	15	7	2.25	0.00361
GO:1905819	negative regulation of chromosome separa...	15	7	2.25	0.00361
GO:0032543	mitochondrial translation	35	12	5.26	0.00364
GO:1901576	organic substance biosynthetic process	2319	386	348.58	0.00367
GO:0022900	electron transport chain	107	27	16.08	0.00374
GO:0090502	RNA phosphodiester bond hydrolysis, endo...	92	24	13.83	0.00386
GO:0031577	spindle checkpoint	19	8	2.86	0.00408
GO:0043631	RNA polyadenylation	19	8	2.86	0.00408
GO:1903313	positive regulation of mRNA metabolic pr...	19	8	2.86	0.00408
GO:0032446	protein modification by small protein co...	226	49	33.97	0.00413
GO:0051247	positive regulation of protein metabolic...	226	49	33.97	0.00413
GO:0000460	maturation of 5.8S rRNA	23	9	3.46	0.00422
GO:0006352	DNA-templated transcription, initiation	88	23	13.23	0.00450
GO:0032387	negative regulation of intracellular tra...	12	6	1.8	0.00465
GO:1901800	positive regulation of proteasomal prote...	45	14	6.76	0.00479
GO:0006417	regulation of translation	135	32	20.29	0.00481
GO:0008104	protein localization	802	146	120.55	0.00483
GO:0034976	response to endoplasmic reticulum stress	94	24	14.13	0.00518
GO:0007088	regulation of mitotic nuclear division	32	11	4.81	0.00518
GO:0030490	maturation of SSU-rRNA	32	11	4.81	0.00518
GO:0044772	mitotic cell cycle phase transition	79	21	11.87	0.00526
GO:0006506	GPI anchor biosynthetic process	41	13	6.16	0.00541
GO:1903829	positive regulation of cellular protein ...	41	13	6.16	0.00541
GO:0006379	mRNA cleavage	16	7	2.41	0.00559
GO:0032784	regulation of DNA-templated transcriptio...	16	7	2.41	0.00559
GO:1904375	regulation of protein localization to ce...	16	7	2.41	0.00559
GO:0002943	tRNA dihydrouridine synthesis	9	5	1.35	0.00564
GO:0019646	aerobic electron transport chain	9	5	1.35	0.00564
GO:2001252	positive regulation of chromosome organi...	24	9	3.61	0.00586
GO:0000963	mitochondrial RNA processing	6	4	0.9	0.00591
GO:0006083	acetate metabolic process	6	4	0.9	0.00591
GO:0007000	nucleolus organization	6	4	0.9	0.00591
GO:0022409	positive regulation of cell-cell adhesio...	6	4	0.9	0.00591
GO:0031119	tRNA pseudouridine synthesis	6	4	0.9	0.00591
GO:0034975	protein folding in endoplasmic reticulum	6	4	0.9	0.00591
GO:0038066	p38MAPK cascade	6	4	0.9	0.00591
GO:0045116	protein neddylation	6	4	0.9	0.00591
GO:0045815	positive regulation of gene expression, ...	6	4	0.9	0.00591
GO:0033047	regulation of mitotic sister chromatid s...	20	8	3.01	0.00592
GO:0071824	protein-DNA complex subunit organization	90	23	13.53	0.00606
GO:0070727	cellular macromolecule localization	594	111	89.29	0.00618
GO:0006790	sulfur compound metabolic process	220	47	33.07	0.00656
GO:0044249	cellular biosynthetic process	2293	379	344.67	0.00689
GO:0000075	cell cycle checkpoint	61	17	9.17	0.00694
GO:0007281	germ cell development	171	38	25.7	0.00714
GO:0032508	DNA duplex unwinding	71	19	10.67	0.00716
GO:1903052	positive regulation of proteolysis invol...	47	14	7.06	0.00734
GO:0009432	SOS response	13	6	1.95	0.00755
GO:0032786	positive regulation of DNA-templated tra...	13	6	1.95	0.00755
GO:0044273	sulfur compound catabolic process	13	6	1.95	0.00755
GO:1903364	positive regulation of cellular protein ...	52	15	7.82	0.00776
GO:0031124	mRNA 3'-end processing	25	9	3.76	0.00796
GO:0009893	positive regulation of metabolic process	605	112	90.94	0.00802
GO:0006613	cotranslational protein targeting to mem...	17	7	2.56	0.00829
GO:0007006	mitochondrial membrane organization	17	7	2.56	0.00829
GO:0031050	dsRNA processing	17	7	2.56	0.00829
GO:0034661	ncRNA catabolic process	17	7	2.56	0.00829
GO:0000910	cytokinesis	77	20	11.57	0.00837
GO:0032392	DNA geometric change	72	19	10.82	0.00840
GO:0050684	regulation of mRNA processing	34	11	5.11	0.00865
GO:0072599	establishment of protein localization to...	34	11	5.11	0.00865
GO:0006259	DNA metabolic process	535	100	80.42	0.00915
GO:0031325	positive regulation of cellular metaboli...	529	99	79.52	0.00916
GO:1901987	regulation of cell cycle phase transitio...	73	19	10.97	0.00980
GO:0006595	polyamine metabolic process	10	5	1.5	0.00990
GO:0042219	cellular modified amino acid catabolic p...	10	5	1.5	0.00990
GO:0060969	negative regulation of gene silencing	10	5	1.5	0.00990
