GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:1901800	positive regulation of proteasomal prote...	45	26	14.61	0.00039
GO:0003006	developmental process involved in reprod...	405	163	131.47	0.00040
GO:0022411	cellular component disassembly	133	62	43.17	0.00041
GO:1903364	positive regulation of cellular protein ...	52	29	16.88	0.00042
GO:0072697	protein localization to cell cortex	12	10	3.9	0.00042
GO:1905268	negative regulation of chromatin organiz...	12	10	3.9	0.00042
GO:0045862	positive regulation of proteolysis	83	42	26.94	0.00043
GO:0043043	peptide biosynthetic process	614	237	199.31	0.00043
GO:0000725	recombinational repair	32	20	10.39	0.00045
GO:0008219	cell death	345	141	111.99	0.00045
GO:0009894	regulation of catabolic process	212	92	68.82	0.00046
GO:0051247	positive regulation of protein metabolic...	226	97	73.36	0.00051
GO:0051050	positive regulation of transport	152	69	49.34	0.00051
GO:0008033	tRNA processing	142	65	46.09	0.00056
GO:0000018	regulation of DNA recombination	26	17	8.44	0.00057
GO:0000902	cell morphogenesis	259	109	84.07	0.00058
GO:0048869	cellular developmental process	882	329	286.3	0.00059
GO:0000819	sister chromatid segregation	89	44	28.89	0.00060
GO:0010604	positive regulation of macromolecule met...	518	202	168.15	0.00063
GO:0048513	animal organ development	669	255	217.16	0.00063
GO:0006265	DNA topological change	18	13	5.84	0.00063
GO:0019692	deoxyribose phosphate metabolic process	18	13	5.84	0.00063
GO:0007098	centrosome cycle	20	14	6.49	0.00064
GO:0051784	negative regulation of nuclear division	20	14	6.49	0.00064
GO:0000226	microtubule cytoskeleton organization	161	72	52.26	0.00067
GO:0000377	RNA splicing, via transesterification re...	135	62	43.82	0.00067
GO:0010605	negative regulation of macromolecule met...	547	212	177.56	0.00068
GO:0006661	phosphatidylinositol biosynthetic proces...	58	31	18.83	0.00073
GO:0006479	protein methylation	70	36	22.72	0.00073
GO:0030154	cell differentiation	876	326	284.35	0.00076
GO:0044380	protein localization to cytoskeleton	9	8	2.92	0.00078
GO:0051130	positive regulation of cellular componen...	250	105	81.15	0.00079
GO:0030865	cortical cytoskeleton organization	33	20	10.71	0.00080
GO:1902275	regulation of chromatin organization	33	20	10.71	0.00080
GO:0006261	DNA-dependent DNA replication	56	30	18.18	0.00084
GO:0000375	RNA splicing, via transesterification re...	136	62	44.15	0.00085
GO:0051716	cellular response to stimulus	1777	630	576.82	0.00086
GO:0006310	DNA recombination	131	60	42.52	0.00088
GO:0044703	multi-organism reproductive process	389	155	126.27	0.00093
GO:0008213	protein alkylation	83	41	26.94	0.00093
GO:0007346	regulation of mitotic cell cycle	93	45	30.19	0.00094
GO:0006352	DNA-templated transcription, initiation	88	43	28.57	0.00094
GO:0051304	chromosome separation	47	26	15.26	0.00098
GO:0070646	protein modification by small protein re...	47	26	15.26	0.00098
GO:1903052	positive regulation of proteolysis invol...	47	26	15.26	0.00098
GO:0019953	sexual reproduction	359	144	116.53	0.00102
GO:0019222	regulation of metabolic process	1547	552	502.16	0.00108
GO:0006400	tRNA modification	91	44	29.54	0.00109
GO:0045324	late endosome to vacuole transport	11	9	3.57	0.00109
GO:0071555	cell wall organization	11	9	3.57	0.00109
GO:0051783	regulation of nuclear division	52	28	16.88	0.00111
GO:1990778	protein localization to cell periphery	64	33	20.77	0.00113
GO:0022412	cellular process involved in reproductio...	209	89	67.84	0.00116
GO:0022409	positive regulation of cell-cell adhesio...	6	6	1.95	0.00116
GO:0031119	tRNA pseudouridine synthesis	6	6	1.95	0.00116
GO:0050891	multicellular organismal water homeostas...	6	6	1.95	0.00116
GO:0010468	regulation of gene expression	1086	396	352.52	0.00119
GO:0060255	regulation of macromolecule metabolic pr...	1415	507	459.32	0.00125
GO:0006323	DNA packaging	84	41	27.27	0.00126
GO:0140013	meiotic nuclear division	84	41	27.27	0.00126
GO:0000027	ribosomal large subunit assembly	23	15	7.47	0.00126
GO:0001701	in utero embryonic development	23	15	7.47	0.00126
GO:0007530	sex determination	13	10	4.22	0.00129
GO:0031167	rRNA methylation	13	10	4.22	0.00129
GO:0043604	amide biosynthetic process	662	250	214.89	0.00132
GO:0032446	protein modification by small protein co...	226	95	73.36	0.00133
GO:0031023	microtubule organizing center organizati...	21	14	6.82	0.00134
GO:0034645	cellular macromolecule biosynthetic proc...	1760	622	571.31	0.00137
GO:0030182	neuron differentiation	314	127	101.93	0.00138
GO:0016246	RNA interference	19	13	6.17	0.00140
GO:0097194	execution phase of apoptosis	19	13	6.17	0.00140
GO:0048699	generation of neurons	353	141	114.59	0.00140
GO:0050657	nucleic acid transport	92	44	29.86	0.00144
GO:0034613	cellular protein localization	571	218	185.35	0.00144
GO:0009059	macromolecule biosynthetic process	1779	628	577.47	0.00146
GO:0044087	regulation of cellular component biogene...	232	97	75.31	0.00146
GO:0051246	regulation of protein metabolic process	560	214	181.78	0.00151
GO:0009218	pyrimidine ribonucleotide metabolic proc...	32	19	10.39	0.00152
GO:0007292	female gamete generation	165	72	53.56	0.00153
GO:0010638	positive regulation of organelle organiz...	131	59	42.52	0.00161
GO:0000398	mRNA splicing, via spliceosome	126	57	40.9	0.00169
GO:1902749	regulation of cell cycle G2/M phase tran...	30	18	9.74	0.00171
GO:0006644	phospholipid metabolic process	244	101	79.2	0.00175
GO:0045732	positive regulation of protein catabolic...	58	30	18.83	0.00176
GO:0061136	regulation of proteasomal protein catabo...	58	30	18.83	0.00176
GO:0009890	negative regulation of biosynthetic proc...	225	94	73.04	0.00177
GO:0044271	cellular nitrogen compound biosynthetic ...	1783	628	578.77	0.00189
GO:0019637	organophosphate metabolic process	637	240	206.77	0.00192
GO:0006354	DNA-templated transcription, elongation	28	17	9.09	0.00192
GO:0006412	translation	591	224	191.84	0.00192
GO:0032268	regulation of cellular protein metabolic...	528	202	171.39	0.00192
GO:0070727	cellular macromolecule localization	594	225	192.82	0.00194
GO:0045995	regulation of embryonic development	26	16	8.44	0.00214
GO:0000075	cell cycle checkpoint	61	31	19.8	0.00214
GO:0065007	biological regulation	3174	1084	1030.3	0.00216
GO:0000727	double-strand break repair via break-ind...	8	7	2.6	0.00216
GO:0009138	pyrimidine nucleoside diphosphate metabo...	8	7	2.6	0.00216
GO:0032511	late endosome to vacuole transport via m...	8	7	2.6	0.00216
GO:0071852	fungal-type cell wall organization or bi...	8	7	2.6	0.00216
GO:0098534	centriole assembly	8	7	2.6	0.00216
GO:0031667	response to nutrient levels	91	43	29.54	0.00218
GO:0042176	regulation of protein catabolic process	91	43	29.54	0.00218
GO:0050658	RNA transport	91	43	29.54	0.00218
GO:0051236	establishment of RNA localization	91	43	29.54	0.00218
GO:0001510	RNA methylation	49	26	15.91	0.00219
GO:0009119	ribonucleoside metabolic process	35	20	11.36	0.00220
GO:0033045	regulation of sister chromatid segregati...	35	20	11.36	0.00220
GO:0031668	cellular response to extracellular stimu...	66	33	21.42	0.00221
GO:1903362	regulation of cellular protein catabolic...	71	35	23.05	0.00225
GO:0016579	protein deubiquitination	42	23	13.63	0.00226
GO:0051604	protein maturation	117	53	37.98	0.00233
GO:0016192	vesicle-mediated transport	593	224	192.49	0.00234
GO:1901989	positive regulation of cell cycle phase ...	24	15	7.79	0.00236
GO:0006260	DNA replication	154	67	49.99	0.00240
GO:0000077	DNA damage checkpoint	33	19	10.71	0.00251
GO:0022604	regulation of cell morphogenesis	47	25	15.26	0.00253
GO:0006915	apoptotic process	263	107	85.37	0.00256
GO:1903050	regulation of proteolysis involved in ce...	64	32	20.77	0.00256
GO:0051641	cellular localization	905	331	293.77	0.00259
GO:0051231	spindle elongation	10	8	3.25	0.00279
GO:2000779	regulation of double-strand break repair	20	13	6.49	0.00282
GO:0010965	regulation of mitotic sister chromatid s...	31	18	10.06	0.00286
GO:0046128	purine ribonucleoside metabolic process	31	18	10.06	0.00286
GO:0051173	positive regulation of nitrogen compound...	469	180	152.24	0.00286
GO:0009247	glycolipid biosynthetic process	57	29	18.5	0.00288
GO:0006367	transcription initiation from RNA polyme...	45	24	14.61	0.00293
GO:0031327	negative regulation of cellular biosynth...	223	92	72.39	0.00309
GO:0009219	pyrimidine deoxyribonucleotide metabolic...	12	9	3.9	0.00311
GO:0030718	germ-line stem cell population maintenan...	12	9	3.9	0.00311
GO:0006360	transcription by RNA polymerase I	16	11	5.19	0.00316
GO:0006379	mRNA cleavage	16	11	5.19	0.00316
GO:0032784	regulation of DNA-templated transcriptio...	16	11	5.19	0.00316
GO:0072583	clathrin-dependent endocytosis	16	11	5.19	0.00316
GO:0009263	deoxyribonucleotide biosynthetic process	14	10	4.54	0.00321
GO:0042157	lipoprotein metabolic process	75	36	24.35	0.00349
GO:0006418	tRNA aminoacylation for protein translat...	65	32	21.1	0.00350
GO:1901362	organic cyclic compound biosynthetic pro...	1338	476	434.32	0.00353
GO:0006244	pyrimidine nucleotide catabolic process	5	5	1.62	0.00359
GO:0009202	deoxyribonucleoside triphosphate biosynt...	5	5	1.62	0.00359
GO:0009211	pyrimidine deoxyribonucleoside triphosph...	5	5	1.62	0.00359
GO:0010248	establishment or maintenance of transmem...	5	5	1.62	0.00359
GO:0040039	inductive cell migration	5	5	1.62	0.00359
GO:0042780	tRNA 3'-end processing	5	5	1.62	0.00359
GO:0048841	regulation of axon extension involved in...	5	5	1.62	0.00359
GO:0048846	axon extension involved in axon guidance	5	5	1.62	0.00359
GO:1900101	regulation of endoplasmic reticulum unfo...	5	5	1.62	0.00359
GO:1904776	regulation of protein localization to ce...	5	5	1.62	0.00359
GO:0032879	regulation of localization	540	204	175.29	0.00363
GO:0006898	receptor-mediated endocytosis	27	16	8.76	0.00368
GO:0010389	regulation of G2/M transition of mitotic...	27	16	8.76	0.00368
GO:0018130	heterocycle biosynthetic process	1294	461	420.04	0.00369
GO:0048477	oogenesis	127	56	41.22	0.00370
GO:0006650	glycerophospholipid metabolic process	159	68	51.61	0.00373
GO:0030029	actin filament-based process	238	97	77.26	0.00374
GO:0007568	aging	219	90	71.09	0.00388
GO:0031570	DNA integrity checkpoint	41	22	13.31	0.00393
GO:1903829	positive regulation of cellular protein ...	41	22	13.31	0.00393
GO:0048732	gland development	78	37	25.32	0.00397
GO:1905818	regulation of chromosome separation	34	19	11.04	0.00398
GO:0016226	iron-sulfur cluster assembly	25	15	8.12	0.00415
GO:0031163	metallo-sulfur cluster assembly	25	15	8.12	0.00415
GO:0033365	protein localization to organelle	225	92	73.04	0.00419
GO:0009893	positive regulation of metabolic process	605	226	196.39	0.00422
GO:2000026	regulation of multicellular organismal d...	217	89	70.44	0.00435
GO:0016241	regulation of macroautophagy	39	21	12.66	0.00454
GO:0008360	regulation of cell shape	32	18	10.39	0.00457
GO:0042278	purine nucleoside metabolic process	32	18	10.39	0.00457
GO:0044784	metaphase/anaphase transition of cell cy...	32	18	10.39	0.00457
GO:0051306	mitotic sister chromatid separation	32	18	10.39	0.00457
GO:1902099	regulation of metaphase/anaphase transit...	32	18	10.39	0.00457
GO:0050789	regulation of biological process	2887	986	937.14	0.00461
GO:0007281	germ cell development	171	72	55.51	0.00462
GO:0043248	proteasome assembly	23	14	7.47	0.00467
GO:0061008	hepaticobiliary system development	23	14	7.47	0.00467
GO:0031047	gene silencing by RNA	61	30	19.8	0.00471
GO:0009605	response to external stimulus	621	231	201.58	0.00484
GO:0006403	RNA localization	110	49	35.71	0.00502
GO:0032870	cellular response to hormone stimulus	97	44	31.49	0.00510
GO:0000154	rRNA modification	21	13	6.82	0.00521
GO:1901068	guanosine-containing compound metabolic ...	21	13	6.82	0.00521
GO:0034728	nucleosome organization	49	25	15.91	0.00523
GO:0007091	metaphase/anaphase transition of mitotic...	30	17	9.74	0.00525
GO:0030071	regulation of mitotic metaphase/anaphase...	30	17	9.74	0.00525
GO:0043039	tRNA aminoacylation	69	33	22.4	0.00541
GO:0043543	protein acylation	69	33	22.4	0.00541
GO:0007405	neuroblast proliferation	19	12	6.17	0.00578
GO:0043631	RNA polyadenylation	19	12	6.17	0.00578
GO:0048701	embryonic cranial skeleton morphogenesis	19	12	6.17	0.00578
GO:0050865	regulation of cell activation	19	12	6.17	0.00578
GO:0030036	actin cytoskeleton organization	219	89	71.09	0.00587
GO:0006108	malate metabolic process	7	6	2.27	0.00589
GO:0006123	mitochondrial electron transport, cytoch...	7	6	2.27	0.00589
GO:0006685	sphingomyelin catabolic process	7	6	2.27	0.00589
GO:0007099	centriole replication	7	6	2.27	0.00589
GO:0007293	germarium-derived egg chamber formation	7	6	2.27	0.00589
GO:0036388	pre-replicative complex assembly	7	6	2.27	0.00589
GO:0046386	deoxyribose phosphate catabolic process	7	6	2.27	0.00589
GO:0051251	positive regulation of lymphocyte activa...	7	6	2.27	0.00589
GO:0071168	protein localization to chromatin	7	6	2.27	0.00589
GO:1901977	negative regulation of cell cycle checkp...	7	6	2.27	0.00589
GO:1902284	neuron projection extension involved in ...	7	6	2.27	0.00589
GO:0016567	protein ubiquitination	178	74	57.78	0.00601
GO:0006220	pyrimidine nucleotide metabolic process	47	24	15.26	0.00608
GO:0035194	post-transcriptional gene silencing by R...	35	19	11.36	0.00609
GO:2001020	regulation of response to DNA damage sti...	35	19	11.36	0.00609
GO:0000466	maturation of 5.8S rRNA from tricistroni...	17	11	5.52	0.00633
GO:1900076	regulation of cellular response to insul...	17	11	5.52	0.00633
GO:0072527	pyrimidine-containing compound metabolic...	57	28	18.5	0.00635
GO:0031325	positive regulation of cellular metaboli...	529	198	171.72	0.00660
GO:0032989	cellular component morphogenesis	270	107	87.64	0.00671
GO:0010942	positive regulation of cell death	93	42	30.19	0.00673
GO:0010558	negative regulation of macromolecule bio...	209	85	67.84	0.00683
GO:0033046	negative regulation of sister chromatid ...	15	10	4.87	0.00683
GO:0034656	nucleobase-containing small molecule cat...	15	10	4.87	0.00683
GO:0051985	negative regulation of chromosome segreg...	15	10	4.87	0.00683
GO:0071173	spindle assembly checkpoint	15	10	4.87	0.00683
GO:1902100	negative regulation of metaphase/anaphas...	15	10	4.87	0.00683
GO:1905819	negative regulation of chromosome separa...	15	10	4.87	0.00683
GO:2001021	negative regulation of response to DNA d...	15	10	4.87	0.00683
GO:0046486	glycerolipid metabolic process	198	81	64.27	0.00685
GO:0030261	chromosome condensation	26	15	8.44	0.00690
GO:0071496	cellular response to external stimulus	75	35	24.35	0.00690
GO:0002696	positive regulation of leukocyte activat...	9	7	2.92	0.00699
GO:0006684	sphingomyelin metabolic process	9	7	2.92	0.00699
GO:0008608	attachment of spindle microtubules to ki...	9	7	2.92	0.00699
GO:0009200	deoxyribonucleoside triphosphate metabol...	9	7	2.92	0.00699
GO:0009452	7-methylguanosine RNA capping	9	7	2.92	0.00699
GO:0019646	aerobic electron transport chain	9	7	2.92	0.00699
GO:0031017	exocrine pancreas development	9	7	2.92	0.00699
GO:0036260	RNA capping	9	7	2.92	0.00699
GO:0050867	positive regulation of cell activation	9	7	2.92	0.00699
GO:0040012	regulation of locomotion	290	114	94.14	0.00704
GO:0007249	I-kappaB kinase/NF-kappaB signaling	13	9	4.22	0.00721
GO:0009432	SOS response	13	9	4.22	0.00721
GO:0045005	DNA-dependent DNA replication maintenanc...	13	9	4.22	0.00721
GO:1905269	positive regulation of chromatin organiz...	13	9	4.22	0.00721
GO:0006333	chromatin assembly or disassembly	65	31	21.1	0.00726
GO:0007051	spindle organization	50	25	16.23	0.00729
GO:0001824	blastocyst development	11	8	3.57	0.00733
GO:0006378	mRNA polyadenylation	11	8	3.57	0.00733
GO:0007064	mitotic sister chromatid cohesion	11	8	3.57	0.00733
GO:0044205	'de novo' UMP biosynthetic process	11	8	3.57	0.00733
GO:0010506	regulation of autophagy	91	41	29.54	0.00774
GO:1903827	regulation of cellular protein localizat...	91	41	29.54	0.00774
GO:0009411	response to UV	38	20	12.34	0.00777
GO:0061919	process utilizing autophagic mechanism	177	73	57.46	0.00793
GO:0010259	multicellular organism aging	188	77	61.03	0.00797
GO:0032970	regulation of actin filament-based proce...	99	44	32.14	0.00798
GO:0071826	ribonucleoprotein complex subunit organi...	131	56	42.52	0.00811
GO:0022618	ribonucleoprotein complex assembly	126	54	40.9	0.00868
GO:2000113	negative regulation of cellular macromol...	208	84	67.52	0.00882
GO:0031399	regulation of protein modification proce...	197	80	63.95	0.00890
GO:0006914	autophagy	175	72	56.81	0.00891
