"sf1" "sf2" "sf3" "sp1" "sp2" "sp3"
"TRINITY_DN8846_c0_g1_i1" 172 316 94 428 120 144
"TRINITY_DN8846_c0_g2_i1" 0 16 2 2 4 4
"TRINITY_DN8800_c0_g1_i2" 8 4 8 6 2 0
"TRINITY_DN8800_c0_g1_i3" 0 8 10 0 0 0
"TRINITY_DN8800_c0_g2_i1" 32 28 22 18 4 2
"TRINITY_DN8800_c0_g3_i1" 0 0 0 0 0 0
"TRINITY_DN8880_c0_g1_i1" 2424 2224 1902 1594 808 770
"TRINITY_DN8879_c0_g1_i4" 196 300 500 326 126 148
"TRINITY_DN8839_c0_g1_i1" 3368 4410 3620 2844 2106 2276
"TRINITY_DN8897_c0_g1_i1" 126 156 126 130 22 24
"TRINITY_DN8816_c0_g1_i2" 12 2 0 4 2 4
"TRINITY_DN8816_c0_g1_i3" 40 48 40 24 2 12
"TRINITY_DN8822_c1_g1_i1" 27110 26004 18418 18634 15712 17504
"TRINITY_DN8899_c1_g1_i1" 2860 4330 2676 1578 734 822
"TRINITY_DN8852_c0_g2_i1" 558 1986 348 404 162 150
"TRINITY_DN8858_c0_g1_i2" 172 336 154 284 120 142
"TRINITY_DN8857_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN8857_c0_g1_i2" 0 4 0 2 2 0
"TRINITY_DN8857_c0_g1_i3" 6 4 6 2 0 8
"TRINITY_DN8869_c0_g1_i2" 750 794 786 478 190 214
"TRINITY_DN8868_c2_g1_i1" 11778 15454 9596 18124 12432 12488
"TRINITY_DN8865_c0_g1_i1" 46 78 40 10 4 0
"TRINITY_DN8865_c0_g1_i2" 340 634 338 158 94 62
"TRINITY_DN8818_c0_g1_i1" 770 826 964 180 94 72
"TRINITY_DN8894_c0_g1_i2" 56 62 30 4 8 6
"TRINITY_DN8894_c0_g1_i6" 16 20 14 8 0 2
"TRINITY_DN8894_c0_g1_i7" 68 78 34 16 2 6
"TRINITY_DN8872_c0_g1_i1" 144 298 146 256 108 108
"TRINITY_DN8811_c0_g1_i3" 6 6 12 0 4 0
"TRINITY_DN8811_c0_g1_i4" 240 144 182 194 54 98
"TRINITY_DN8810_c0_g1_i1" 1946 2540 1760 670 348 318
"TRINITY_DN8807_c1_g1_i3" 48 88 102 86 34 32
"TRINITY_DN8807_c1_g1_i4" 204 248 258 116 62 60
"TRINITY_DN8885_c0_g1_i2" 12 32 4 4 0 4
"TRINITY_DN8885_c0_g1_i3" 22 14 10 10 8 8
"TRINITY_DN8890_c2_g1_i1" 2452 2180 2310 1386 780 708
"TRINITY_DN8804_c1_g1_i1" 1860 2344 1318 1596 564 684
"TRINITY_DN8866_c0_g1_i1" 30 86 58 86 32 28
"TRINITY_DN8866_c0_g3_i1" 28 44 6 32 18 16
"TRINITY_DN8866_c0_g3_i2" 4 6 0 2 6 2
"TRINITY_DN8820_c0_g2_i1" 14 34 24 4 6 4
"TRINITY_DN8820_c1_g1_i1" 1092 1846 770 834 342 370
"TRINITY_DN8849_c0_g1_i2" 462 1286 18 12 0 0
"TRINITY_DN8836_c1_g1_i1" 10890 12986 9084 9586 5338 5070
"TRINITY_DN8848_c1_g1_i1" 2612 4014 3406 1966 954 934
"TRINITY_DN8848_c1_g2_i1" 172 176 150 130 72 74
"TRINITY_DN8893_c1_g1_i1" 5466 6612 2626 3372 1496 1568
"TRINITY_DN8896_c0_g1_i1" 2 8 4 0 0 0
"TRINITY_DN8896_c0_g1_i2" 2 4 0 0 0 0
"TRINITY_DN8896_c0_g1_i3" 4 18 40 10 8 4
"TRINITY_DN8896_c0_g1_i4" 2 0 6 0 0 0
"TRINITY_DN8859_c0_g1_i1" 8 12 6 2 6 0
"TRINITY_DN8859_c0_g1_i2" 30 26 20 18 4 6
"TRINITY_DN8823_c0_g1_i1" 78 42 88 546 294 284
"TRINITY_DN8823_c0_g2_i1" 0 0 8 0 0 0
"TRINITY_DN8854_c0_g1_i2" 0 0 0 0 0 0
"TRINITY_DN8854_c0_g1_i4" 0 0 0 0 0 0
"TRINITY_DN8854_c0_g1_i5" 0 0 0 0 0 0
"TRINITY_DN8854_c0_g1_i7" 4 0 4 4 0 0
"TRINITY_DN8871_c0_g1_i1" 2010 2360 1742 1340 858 1010
"TRINITY_DN8842_c0_g1_i1" 372 636 238 288 202 132
"TRINITY_DN8842_c1_g2_i1" 4 12 0 2 0 0
"TRINITY_DN8842_c1_g3_i2" 352 528 258 278 166 148
"TRINITY_DN8842_c2_g1_i1" 2 2 4 6 0 2
"TRINITY_DN8850_c0_g1_i1" 2 0 4 2 0 2
"TRINITY_DN8850_c1_g1_i1" 66 20 72 34 18 38
"TRINITY_DN8850_c1_g1_i3" 12 8 12 10 4 6
"TRINITY_DN8850_c1_g2_i2" 176 190 256 78 26 40
"TRINITY_DN8850_c1_g2_i3" 32 16 84 20 4 10
"TRINITY_DN8832_c0_g1_i2" 1810 2138 1306 1250 688 686
"TRINITY_DN8832_c0_g2_i1" 2 2 8 2 0 2
"TRINITY_DN8867_c1_g1_i1" 2492 3342 1700 1566 882 842
"TRINITY_DN8835_c1_g1_i1" 1696 1932 1678 866 422 332
"TRINITY_DN8884_c0_g1_i1" 2 0 2 0 0 4
"TRINITY_DN8884_c1_g1_i1" 2 6 2 2 0 0
"TRINITY_DN8884_c1_g2_i1" 496 566 556 268 110 124
"TRINITY_DN8886_c0_g1_i1" 3178 3994 3240 1208 480 614
"TRINITY_DN8841_c0_g1_i1" 10 10 94 382 116 166
"TRINITY_DN22341_c0_g1_i1" 4 0 0 8 0 2
"TRINITY_DN22375_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN22379_c0_g1_i1" 4 0 2 4 0 0
"TRINITY_DN22397_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN22336_c0_g1_i1" 0 0 0 0 2 2
"TRINITY_DN22391_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN22308_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN22382_c0_g1_i1" 6 0 0 0 0 0
"TRINITY_DN22381_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN22319_c0_g1_i1" 2 4 4 0 0 0
"TRINITY_DN22327_c0_g1_i1" 2 0 2 0 0 2
"TRINITY_DN22350_c0_g1_i1" 0 0 0 2 2 0
"TRINITY_DN22315_c0_g1_i1" 0 6 2 0 0 0
"TRINITY_DN22317_c0_g1_i1" 2 2 0 2 0 0
"TRINITY_DN22360_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN22385_c0_g1_i1" 4 26 0 4 2 0
"TRINITY_DN22316_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN22388_c0_g1_i1" 0 2 2 0 0 0
"TRINITY_DN22389_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN22338_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22339_c0_g1_i1" 0 0 6 0 0 0
"TRINITY_DN22304_c0_g1_i1" 0 0 2 0 0 2
"TRINITY_DN22361_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN22324_c0_g1_i1" 0 0 0 0 2 0
"TRINITY_DN22368_c0_g1_i1" 10 18 10 2 2 0
"TRINITY_DN22320_c0_g1_i1" 0 0 0 0 2 0
"TRINITY_DN22366_c0_g1_i1" 2 2 0 0 0 0
"TRINITY_DN22369_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN22390_c0_g1_i1" 6 0 0 0 2 0
"TRINITY_DN22395_c0_g1_i1" 2 4 0 0 0 2
"TRINITY_DN22310_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN22328_c0_g1_i1" 6 20 0 0 0 0
"TRINITY_DN22367_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN22378_c0_g1_i1" 0 0 0 64 32 30
"TRINITY_DN22334_c0_g1_i1" 0 0 0 4 0 0
"TRINITY_DN22347_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN22330_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN22380_c0_g1_i1" 0 4 0 2 0 0
"TRINITY_DN22353_c0_g1_i1" 6 0 4 2 0 0
"TRINITY_DN22376_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN22333_c0_g1_i1" 0 0 0 4 2 4
"TRINITY_DN22399_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN22335_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN22325_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22394_c0_g1_i1" 0 14 2 0 0 0
"TRINITY_DN22349_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22322_c0_g1_i1" 2 2 0 2 0 0
"TRINITY_DN22345_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22374_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22318_c0_g1_i1" 4 0 4 0 2 2
"TRINITY_DN22392_c0_g1_i1" 0 0 6 0 0 0
"TRINITY_DN22383_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN22314_c0_g1_i1" 16 2 10 8 0 2
"TRINITY_DN22300_c0_g1_i1" 0 0 6 6 6 8
"TRINITY_DN22301_c0_g1_i1" 18 10 10 4 0 4
"TRINITY_DN22309_c0_g1_i1" 2 0 0 0 2 0
"TRINITY_DN22372_c0_g1_i1" 0 12 10 2 4 0
"TRINITY_DN22352_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN22337_c0_g1_i1" 0 4 0 2 0 0
"TRINITY_DN22321_c0_g1_i1" 4 6 0 0 0 0
"TRINITY_DN22346_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN22398_c0_g1_i1" 0 0 2 2 0 0
"TRINITY_DN22326_c0_g1_i1" 4 0 2 0 0 0
"TRINITY_DN22355_c0_g1_i1" 0 0 10 4 0 0
"TRINITY_DN22370_c0_g1_i1" 0 0 0 0 4 0
"TRINITY_DN22340_c0_g1_i1" 8 8 14 0 0 0
"TRINITY_DN22302_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN22331_c0_g1_i1" 0 0 0 0 2 0
"TRINITY_DN22384_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN22332_c0_g1_i1" 0 8 0 0 0 0
"TRINITY_DN22312_c0_g1_i1" 0 0 4 0 2 0
"TRINITY_DN22357_c0_g1_i1" 6 10 2 2 0 0
"TRINITY_DN22323_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN22313_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN22344_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22307_c0_g1_i1" 0 4 2 0 0 0
"TRINITY_DN22354_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN22343_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN22365_c0_g1_i1" 2 0 0 0 0 2
"TRINITY_DN22393_c0_g1_i1" 20 0 0 0 0 0
"TRINITY_DN22305_c0_g1_i1" 0 4 2 4 0 2
"TRINITY_DN22306_c0_g1_i1" 0 0 0 0 2 4
"TRINITY_DN22386_c0_g1_i1" 10 8 2 4 0 4
"TRINITY_DN22387_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN22377_c0_g1_i1" 0 4 0 0 0 0
"TRINITY_DN22356_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN22358_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN22348_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22359_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN22373_c0_g1_i1" 0 8 0 0 0 0
"TRINITY_DN22303_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN22329_c0_g1_i1" 0 0 0 4 0 0
"TRINITY_DN22362_c0_g1_i1" 4 0 2 0 0 0
"TRINITY_DN22351_c0_g1_i1" 0 0 4 6 0 2
"TRINITY_DN22363_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN22396_c0_g1_i1" 4 0 4 0 0 0
"TRINITY_DN22371_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN13304_c0_g1_i1" 2 32 34 14 4 4
"TRINITY_DN13301_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13334_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13386_c0_g1_i1" 0 14 0 0 4 0
"TRINITY_DN13382_c0_g1_i1" 4 2 2 0 0 2
"TRINITY_DN13379_c0_g1_i1" 0 4 0 0 0 0
"TRINITY_DN13306_c0_g1_i1" 4 0 0 0 0 2
"TRINITY_DN13310_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13348_c0_g1_i1" 2 0 0 4 0 0
"TRINITY_DN13360_c0_g1_i1" 0 16 0 0 0 0
"TRINITY_DN13395_c0_g1_i1" 114 56 78 70 14 30
"TRINITY_DN13312_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13399_c0_g1_i1" 0 2 2 2 2 6
"TRINITY_DN13302_c0_g1_i1" 2 2 2 0 2 0
"TRINITY_DN13325_c0_g1_i1" 2 2 0 0 0 0
"TRINITY_DN13388_c0_g1_i1" 0 0 0 2 0 2
"TRINITY_DN13356_c0_g1_i1" 4 20 4 2 0 0
"TRINITY_DN13333_c0_g1_i1" 2 2 0 4 0 0
"TRINITY_DN13318_c0_g1_i1" 0 0 18 0 0 0
"TRINITY_DN13373_c0_g2_i1" 18 84 28 6 0 2
"TRINITY_DN13366_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN13329_c0_g1_i1" 10 0 4 4 2 2
"TRINITY_DN13316_c0_g1_i1" 2 0 8 8 0 0
"TRINITY_DN13363_c0_g1_i1" 4 16 8 2 2 0
"TRINITY_DN13322_c0_g1_i1" 4 6 4 2 0 2
"TRINITY_DN13321_c0_g1_i1" 0 6 4 2 2 0
"TRINITY_DN13324_c0_g1_i1" 2 6 0 0 0 0
"TRINITY_DN13394_c0_g1_i1" 0 0 10 2 4 0
"TRINITY_DN13392_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN13311_c0_g1_i1" 4 6 0 0 0 0
"TRINITY_DN13319_c0_g1_i1" 2 0 4 2 2 2
"TRINITY_DN13346_c0_g1_i1" 0 0 0 4 0 0
"TRINITY_DN13376_c0_g1_i1" 0 0 0 10 0 12
"TRINITY_DN13338_c0_g1_i1" 26 18 68 18 12 14
"TRINITY_DN13390_c0_g1_i1" 2 0 2 6 4 0
"TRINITY_DN13385_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN13340_c0_g1_i1" 2 4 0 2 2 4
"TRINITY_DN13347_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13347_c1_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13361_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN13309_c0_g1_i1" 24 36 42 28 12 4
"TRINITY_DN13349_c0_g1_i1" 0 0 0 4 2 2
"TRINITY_DN13332_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN13305_c0_g1_i1" 360 734 420 206 78 56
"TRINITY_DN13305_c1_g1_i1" 8 14 14 0 0 0
"TRINITY_DN13375_c0_g1_i1" 0 0 0 4 2 0
"TRINITY_DN13339_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN13307_c0_g1_i1" 10 4 18 4 8 2
"TRINITY_DN13398_c0_g1_i1" 0 12 0 0 0 0
"TRINITY_DN13342_c0_g1_i1" 6 0 0 4 0 4
"TRINITY_DN13365_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13397_c0_g1_i1" 0 0 0 2 2 0
"TRINITY_DN13369_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN13344_c0_g1_i1" 0 2 6 2 0 0
"TRINITY_DN13336_c0_g1_i1" 0 2 10 2 2 0
"TRINITY_DN13371_c0_g1_i1" 8 0 0 8 0 6
"TRINITY_DN13387_c0_g1_i1" 0 10 6 2 0 4
"TRINITY_DN13378_c0_g1_i1" 4 0 2 0 0 0
"TRINITY_DN13308_c0_g1_i1" 0 4 0 0 0 0
"TRINITY_DN13389_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN13337_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN13358_c0_g1_i1" 0 0 8 0 0 0
"TRINITY_DN13364_c0_g1_i1" 0 0 34 0 0 0
"TRINITY_DN13355_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13374_c0_g1_i1" 0 8 0 0 0 0
"TRINITY_DN13352_c0_g1_i1" 10 0 0 0 0 0
"TRINITY_DN13341_c2_g1_i1" 2436 3006 1912 1432 636 630
"TRINITY_DN13323_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN13370_c0_g1_i1" 14 50 32 8 2 2
"TRINITY_DN13362_c0_g1_i1" 6 0 0 0 4 0
"TRINITY_DN13313_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13303_c0_g1_i1" 8 2 2 4 2 4
"TRINITY_DN13326_c0_g1_i1" 16 14 12 4 0 2
"TRINITY_DN13377_c0_g1_i1" 6 12 0 2 0 0
"TRINITY_DN13384_c0_g1_i1" 10 24 18 12 4 4
"TRINITY_DN13315_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13380_c0_g1_i1" 12 4 2 2 2 0
"TRINITY_DN13354_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13354_c1_g1_i1" 4 2 0 0 0 0
"TRINITY_DN13351_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13396_c0_g2_i1" 0 0 0 4 2 2
"TRINITY_DN13330_c0_g1_i1" 6 0 0 10 8 0
"TRINITY_DN13359_c0_g1_i1" 0 0 0 2 2 0
"TRINITY_DN13327_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN13335_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN13383_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN13331_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN13393_c0_g1_i1" 0 6 0 0 0 0
"TRINITY_DN13372_c0_g1_i1" 4 0 4 0 0 0
"TRINITY_DN13391_c0_g1_i1" 0 0 0 2 0 2
"TRINITY_DN13345_c0_g1_i1" 18 2 18 16 2 2
"TRINITY_DN13300_c0_g1_i1" 6 0 0 0 0 0
"TRINITY_DN13320_c0_g1_i1" 4 8 10 0 0 2
"TRINITY_DN13368_c0_g1_i1" 26 2 20 10 14 4
"TRINITY_DN13381_c0_g1_i1" 6 0 6 4 0 0
"TRINITY_DN13367_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN13317_c0_g1_i1" 92 46 62 104 46 60
"TRINITY_DN13350_c0_g2_i1" 0 18 10 2 4 0
"TRINITY_DN13314_c0_g1_i1" 12 12 30 12 0 8
"TRINITY_DN13328_c0_g1_i1" 16 10 2 0 2 2
"TRINITY_DN13353_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN13343_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN9267_c2_g1_i1" 2668 3634 2144 1718 1318 1228
"TRINITY_DN9292_c1_g1_i2" 6 8 18 2 0 0
"TRINITY_DN9292_c2_g1_i1" 4 18 4 0 0 0
"TRINITY_DN9292_c4_g3_i1" 10 30 20 0 0 2
"TRINITY_DN9292_c4_g4_i1" 14 14 18 12 6 4
"TRINITY_DN9292_c4_g5_i1" 4 2 2 0 0 2
"TRINITY_DN9292_c5_g1_i1" 16 12 18 20 4 14
"TRINITY_DN9292_c5_g2_i1" 0 0 0 2 0 0
"TRINITY_DN9292_c5_g3_i1" 710 470 1358 1020 578 1166
"TRINITY_DN9292_c5_g4_i1" 0 0 2 0 0 0
"TRINITY_DN9292_c5_g8_i2" 4 42 6 26 18 38
"TRINITY_DN9292_c5_g10_i2" 194 540 236 12 16 12
"TRINITY_DN9292_c5_g11_i1" 0 0 0 0 0 2
"TRINITY_DN9292_c5_g10_i5" 1598 1108 3102 2158 1230 2460
"TRINITY_DN9236_c1_g1_i1" 6728 5226 5910 2980 1606 1772
"TRINITY_DN9269_c1_g1_i1" 9508 7626 8934 4616 2616 2630
"TRINITY_DN9277_c0_g1_i1" 0 42 2 2 0 0
"TRINITY_DN9277_c1_g1_i1" 812 1234 532 642 302 312
"TRINITY_DN9289_c3_g3_i1" 4 12 0 116 76 120
"TRINITY_DN9289_c3_g5_i1" 2 18 2 134 82 92
"TRINITY_DN9289_c3_g7_i1" 2 4 0 38 36 38
"TRINITY_DN9289_c3_g8_i1" 0 12 0 106 76 92
"TRINITY_DN9289_c3_g9_i1" 0 6 0 152 200 204
"TRINITY_DN9289_c3_g11_i1" 8 50 0 364 292 278
"TRINITY_DN9289_c3_g19_i1" 2 0 0 254 264 342
"TRINITY_DN9289_c3_g23_i1" 470 1420 64 13972 14116 16942
"TRINITY_DN9289_c3_g24_i1" 18 34 6 292 240 310
"TRINITY_DN9289_c3_g29_i2" 18 40 6 232 182 200
"TRINITY_DN9291_c0_g1_i2" 336 462 318 240 198 156
"TRINITY_DN9235_c1_g1_i1" 12416 12812 10222 9580 5026 5250
"TRINITY_DN9240_c0_g1_i1" 142 184 162 94 62 44
"TRINITY_DN9234_c1_g1_i1" 0 0 0 4 0 0
"TRINITY_DN9234_c1_g1_i3" 554 480 404 464 256 244
"TRINITY_DN9234_c1_g3_i1" 7440 6622 5358 5066 3138 3168
"TRINITY_DN9200_c0_g1_i1" 3150 3648 2832 2450 1218 1298
"TRINITY_DN9280_c0_g1_i1" 704 1036 1132 6 4 8
"TRINITY_DN9280_c0_g1_i3" 586 964 792 98 46 48
"TRINITY_DN9280_c0_g2_i1" 0 0 0 0 0 0
"TRINITY_DN9255_c0_g1_i1" 118 162 10 114 24 54
"TRINITY_DN9262_c1_g1_i1" 0 0 0 0 0 0
"TRINITY_DN9262_c1_g1_i2" 14 34 32 6 2 4
"TRINITY_DN9262_c1_g1_i3" 138 256 138 86 66 42
"TRINITY_DN9262_c1_g3_i3" 116 578 610 150 70 64
"TRINITY_DN9262_c1_g4_i1" 12 40 12 10 8 4
"TRINITY_DN9262_c1_g5_i1" 0 0 2 2 0 0
"TRINITY_DN9281_c0_g2_i3" 8 6 46 138 72 72
"TRINITY_DN9281_c1_g1_i3" 30 36 92 194 64 86
"TRINITY_DN9281_c2_g1_i1" 0 2 0 2 0 2
"TRINITY_DN9281_c3_g1_i1" 2 4 4 0 0 0
"TRINITY_DN9205_c1_g1_i1" 2870 4372 3354 2616 1386 1392
"TRINITY_DN9233_c1_g1_i2" 4750 7746 3868 3900 2902 2754
"TRINITY_DN9204_c1_g4_i2" 0 0 0 14 0 0
"TRINITY_DN9204_c1_g4_i4" 0 0 0 0 0 0
"TRINITY_DN9204_c1_g4_i7" 0 0 0 0 0 0
"TRINITY_DN9204_c1_g5_i5" 0 0 0 6 0 2
"TRINITY_DN9204_c1_g4_i9" 0 0 0 88 30 42
"TRINITY_DN9204_c1_g6_i1" 0 0 0 20 14 14
"TRINITY_DN9204_c1_g6_i2" 0 0 0 0 0 0
"TRINITY_DN9242_c0_g1_i1" 116 232 96 102 88 78
"TRINITY_DN9242_c0_g2_i1" 86 132 96 54 28 14
"TRINITY_DN9242_c0_g2_i2" 0 0 0 0 0 0
"TRINITY_DN9209_c2_g1_i1" 4816 3038 3570 3446 2010 1952
"TRINITY_DN9232_c0_g1_i1" 3374 4132 3320 2026 1212 1242
"TRINITY_DN9227_c0_g1_i1" 3508 4878 4658 682 374 340
"TRINITY_DN9286_c0_g1_i2" 294 748 384 354 208 156
"TRINITY_DN9248_c1_g1_i2" 11400 15552 7586 8000 6138 5816
"TRINITY_DN9215_c0_g1_i2" 8 26 12 12 4 12
"TRINITY_DN9215_c0_g1_i3" 472 674 746 454 202 234
"TRINITY_DN9288_c1_g1_i1" 2232 3084 2248 1642 1384 1504
"TRINITY_DN9206_c0_g1_i1" 862 1162 978 372 160 164
"TRINITY_DN9206_c0_g2_i1" 1924 2110 1978 808 302 392
"TRINITY_DN9264_c0_g2_i5" 3408 4900 2518 4546 4188 4292
"TRINITY_DN9258_c0_g1_i1" 938 928 674 692 290 402
"TRINITY_DN9283_c0_g1_i1" 38 72 30 44 20 24
"TRINITY_DN9283_c0_g1_i2" 14 22 2 6 0 2
"TRINITY_DN9283_c0_g1_i3" 26 34 18 0 2 2
"TRINITY_DN9222_c0_g1_i1" 662 1276 814 390 228 206
"TRINITY_DN9210_c1_g1_i1" 6682 8328 4050 3408 1856 1882
"TRINITY_DN9293_c0_g1_i1" 0 0 0 0 4 0
"TRINITY_DN9293_c0_g2_i1" 0 0 0 0 0 0
"TRINITY_DN9293_c1_g1_i1" 0 0 0 0 0 0
"TRINITY_DN9293_c1_g2_i1" 46 94 34 46 36 24
"TRINITY_DN9293_c1_g3_i1" 0 0 2 14 8 4
"TRINITY_DN9293_c1_g5_i2" 0 0 0 2 2 2
"TRINITY_DN9293_c1_g7_i2" 0 2 4 130 86 88
"TRINITY_DN9293_c1_g9_i1" 0 6 0 6 6 2
"TRINITY_DN9293_c1_g10_i3" 2 0 2 14 12 22
"TRINITY_DN9293_c1_g12_i1" 0 0 4 86 94 56
"TRINITY_DN9293_c1_g11_i6" 0 0 0 0 0 0
"TRINITY_DN9293_c1_g11_i8" 0 0 0 18 6 10
"TRINITY_DN9294_c0_g1_i1" 11256 10804 10068 7508 4950 5264
"TRINITY_DN9287_c1_g1_i1" 2824 4332 2080 1252 828 790
"TRINITY_DN9287_c2_g1_i1" 264 228 466 210 66 112
"TRINITY_DN9230_c1_g1_i1" 748 828 826 290 154 144
"TRINITY_DN9230_c1_g3_i1" 26 40 20 6 2 2
"TRINITY_DN9230_c1_g6_i3" 4426 5148 3686 4114 2356 2558
"TRINITY_DN9299_c1_g1_i1" 12 10 26 8 4 0
"TRINITY_DN9299_c1_g1_i4" 10 18 8 6 0 2
"TRINITY_DN9299_c1_g1_i5" 4 4 8 0 0 0
"TRINITY_DN9213_c2_g4_i1" 18 18 12 12 2 2
"TRINITY_DN9213_c3_g3_i1" 8 8 4 4 2 2
"TRINITY_DN9213_c3_g6_i2" 4 0 4 0 0 0
"TRINITY_DN9213_c3_g7_i1" 2 2 2 2 0 2
"TRINITY_DN9213_c3_g12_i1" 6 4 4 4 0 2
"TRINITY_DN9213_c3_g21_i2" 4 2 0 0 0 2
"TRINITY_DN9213_c3_g22_i1" 0 0 2 0 0 0
"TRINITY_DN9213_c3_g22_i2" 0 0 4 0 0 0
"TRINITY_DN9213_c3_g24_i1" 0 0 0 0 0 0
"TRINITY_DN9213_c3_g38_i1" 2 4 2 2 0 0
"TRINITY_DN9213_c3_g41_i1" 0 0 2 2 0 0
"TRINITY_DN9213_c3_g43_i1" 0 0 0 4 0 0
"TRINITY_DN9213_c3_g44_i1" 16 14 22 12 2 6
"TRINITY_DN9213_c3_g46_i1" 6 8 10 0 4 2
"TRINITY_DN9220_c5_g9_i1" 0 0 0 0 0 0
"TRINITY_DN9220_c5_g16_i1" 0 0 0 6 2 6
"TRINITY_DN9220_c5_g17_i1" 0 0 0 0 0 0
"TRINITY_DN9220_c5_g18_i1" 0 0 0 0 0 0
"TRINITY_DN9220_c5_g19_i1" 4 0 2 8 0 2
"TRINITY_DN9220_c5_g28_i1" 0 0 0 0 0 0
"TRINITY_DN9220_c5_g34_i2" 0 8 2 10 2 4
"TRINITY_DN9220_c5_g35_i1" 8 14 6 22 22 10
"TRINITY_DN9220_c5_g37_i1" 0 0 0 0 4 0
"TRINITY_DN9220_c5_g44_i1" 0 0 0 0 0 0
"TRINITY_DN9220_c5_g45_i1" 2 0 2 54 64 74
"TRINITY_DN9220_c5_g51_i1" 0 0 0 12 6 4
"TRINITY_DN9220_c5_g53_i1" 0 0 0 0 0 0
"TRINITY_DN9220_c5_g54_i2" 0 0 0 4 12 16
